,Search term,Keyword,Similarity Score,Keyword vs Account Similarity,Match Type_Broad match,Match Type_Exact match,Match Type_Phrase match,Added/Excluded
8215,roof replacement options,+house +roof +replacement,0.7395904064178467,0.8065243363380432,0,1,0,2
8216,how much for a new roof,+house +roof +replacement,0.5991610288619995,0.6112973690032959,0,0,1,2
8217,rubber roof treatment,rubber roofers,0.7013503313064575,0.5255081653594971,0,0,1,2
8218,tulsa commercial roofing,commercial roofing tulsa OK,0.9782987833023072,0.7863340377807617,0,1,0,2
8219,rubber roof covering,rubber roofers,0.7326052188873291,0.5561931133270264,0,0,1,2
8220,commercial roofing repair near me,commercial roof repair,0.8276926279067993,0.8354723453521729,0,1,0,2
8221,alpha roof,commercial roofing contractor,0.4280165433883667,0.5778638124465942,1,0,0,2
8222,bristow roofing,commercial roofing tulsa,0.6416665315628052,0.7122267484664917,1,0,0,2
8223,centi mark,commercial roofing contractor,0.0681077539920806,0.15751919150352478,0,0,1,2
8224,tpo installation,TPO roof installation,0.7346497774124146,0.19651541113853455,0,1,0,0
8225,roofing supplys,commercial roofing contractor,0.6084009408950806,0.7128356695175171,1,0,0,2
8226,tulsa commercial roof repair,commercial roofing tulsa,0.9130783081054688,0.7584856152534485,0,1,0,2
8227,roofing companies near me free estimates,commercial roofing company,0.5957419872283936,0.8204070329666138,0,0,1,2
8228,gaf certified roofing contractors,industrial roofing company,0.6731967329978943,0.7910744547843933,0,0,1,2
8229,commercial roof restoration,+commercial +roof +restoration,0.8641111254692078,0.7272745370864868,0,1,0,0
8230,rubber roof seam adhesive,rubber roofers,0.6243889331817627,0.48536351323127747,0,0,1,2
8231,tpo roofing,TPO roofing company,0.8529335260391235,0.6373516321182251,0,1,0,0
8232,gaf care,commercial roofing contractor,0.1056805625557899,0.22508856654167175,1,0,0,2
8233,commercial roofing spartanburg sc,+commercial +roofing +company,0.6666518449783325,0.7498300075531006,0,0,1,2
8234,new roof company,commercial roofing contractor,0.685429036617279,0.8904737234115601,1,0,0,2
8235,blue springs commercial roofing,commercial roofing tulsa,0.7156739830970764,0.7113953828811646,1,0,0,2
8236,commercial roofing company near me,commercial flat roof replacement,0.5884536504745483,0.8721395134925842,1,0,0,2
8237,tpo roofing companies near me,commercial roofing company near me,0.7854806780815125,0.7432264685630798,0,0,1,2
8238,roof financing near me,commercial roofing tulsa,0.6154502630233765,0.8325421214103699,1,0,0,2
8239,highland commercial roofing,+commercial +roofing +company,0.6845088005065918,0.7852751612663269,0,0,1,2
8240,asphalt flat roof repair,flat roof repair,0.8445241451263428,0.5937550663948059,0,0,1,2
8241,comercial roofing,commercial roofing tulsa,0.6653028726577759,0.705114483833313,1,0,0,2
8242,rubber roofers,rubber roofers,1.0000001192092896,0.6351856589317322,0,1,0,0
8243,roofing near me,commercial roofing tulsa,0.6895327568054199,0.812486469745636,1,0,0,2
8244,roofing commercial,commercial roofing company near me,0.5940355062484741,0.6187241673469543,0,1,0,2
8245,flat roof companies near me,flat roof repair service,0.7362692356109619,0.780087947845459,0,1,0,2
8246,flat roofer,flat roofing,0.9043321013450624,0.6946452260017395,0,1,0,2
8247,hi tech roofing,commercial roofing company,0.6374303102493286,0.719482421875,1,0,0,1
8248,stand and seam metal roof,commercial roofing company,0.448971688747406,0.8031895160675049,1,0,0,2
8249,roof repair broken arrow,flat roof repair company,0.4076546430587768,0.5112135410308838,0,0,1,2
8250,flat roof made of,commercial flat roof replacement,0.6749542951583862,0.6158720850944519,1,0,0,2
8251,crossroad roofing,commercial roofing contractor,0.5091878175735474,0.6487441062927246,1,0,0,2
8252,knight commercial roofing,commercial roofing company,0.784653902053833,0.7899362444877625,1,0,0,2
8253,rubber roof jack,rubber roofers,0.6430801153182983,0.49166369438171387,0,0,1,2
8254,flex seal on rubber roof,rubber roofers,0.5783745050430298,0.4197750687599182,0,0,1,2
8255,shake roof,commercial roof repair,0.5580717325210571,0.6182795166969299,1,0,0,2
8256,commercial property roof repairs,industrial roof repair,0.854062557220459,0.8002119064331055,0,0,1,2
8257,northstar construction,commercial roofing contractor,0.385884940624237,0.4723224639892578,1,0,0,2
8258,low slope roof insulation,low slope roofers,0.7739177942276001,0.4489092230796814,0,0,1,2
8259,roofmax,commercial roofing company,0.6433102488517761,0.6879242658615112,0,0,1,2
8260,san antonio commercial roofing,+commercial +roofing +company,0.6701070070266724,0.7547836303710938,0,0,1,2
8261,leaking flat roof,flat roof repair,0.7272288799285889,0.5312855243682861,0,0,1,2
8262,murphy roof,commercial roofing company,0.5242723822593689,0.6163532733917236,0,0,1,2
8263,bixby roofers,commercial roofing bixby,0.8169951438903809,0.671306848526001,0,1,0,2
8264,best flat roof contractors near me,flat roofing contractor,0.8348996639251709,0.7416789531707764,0,1,0,2
8265,hp roofing pro,commercial roofing contractor,0.5025358200073242,0.5916968584060669,1,0,0,2
8266,roof coatings,commercial flat roof replacement,0.4294463992118835,0.663357675075531,1,0,0,2
8267,roofing contractors owasso,roofer in owasso,0.8648905158042908,0.8018137812614441,0,1,0,2
8268,best roofers in tulsa,roof repair in tulsa,0.8444949984550476,0.6824570894241333,0,1,0,2
8269,patterson roofing shawnee ok,+roofing +contractor +service,0.5272473096847534,0.6584858894348145,0,0,1,1
8270,bulletproof roofing,roof repair company,0.5150400400161743,0.6447362899780273,0,0,1,2
8271,decra roofing,roofers in tulsa,0.4985497891902923,0.6375154256820679,1,0,0,1
8272,financing for roof replacement,roofing financing,0.8549362421035767,0.7616575360298157,0,1,0,2
8273,energy star shingles,residential roofing company,0.3572798669338226,0.3724062740802765,1,0,0,2
8274,when does a roof need replaced,roof installation company,0.4645047783851623,0.6878511309623718,1,0,0,2
8275,fuller roofing owasso,+roofing +in +owasso +ok,0.668822169303894,0.5535396337509155,0,0,1,2
8276,roof layers,roof installation company,0.5426055192947388,0.5895587205886841,1,0,0,2
8277,roofing repair specialists,roof repair near me,0.7733619213104248,0.8541304469108582,0,1,0,2
8278,quality roofing,residential roofing contractor,0.6078433990478516,0.7051612734794617,1,0,0,1
8279,scissortail roofing,roofing companies near me,0.554816722869873,0.6210923194885254,1,0,0,2
8280,roof roof roofing,home roofing,0.7253362536430359,0.7419227361679077,0,1,0,1
8281,smith roofing,roofing company in my area,0.7047682404518127,0.7453582882881165,1,0,0,2
8282,exceptional roofing,roofers near me,0.5751619935035706,0.7170116901397705,1,0,0,2
8283,roofer tulsa,roof repair services,0.6436863541603088,0.7143223881721497,0,0,1,2
8284,roofer tulsa,local residential roofers,0.6830975413322449,0.7143223881721497,0,0,1,2
8285,a&d roofing,roofers near me,0.628009021282196,0.7449167370796204,1,0,0,2
8286,proactive roofing,roofing companies near me,0.6299117207527161,0.6855834722518921,1,0,0,2
8287,perfect roofing llc,roofing companies near me,0.790238618850708,0.8507180213928223,1,0,0,1
8288,acts29 roofing,residential roofing contractor,0.5439345240592957,0.67928147315979,1,0,0,1
8289,roof company,roofing companies near me,0.8096376657485962,0.9307469725608826,0,1,0,2
8290,roofers in broken arrow,+roof +contractor +broken +arrow,0.7574496269226074,0.5708980560302734,0,1,0,2
8291,ridgeline roofing,roofers near me,0.52646803855896,0.6157366037368774,1,0,0,1
8292,gaf timbertex ridge shingles,roof installation company,0.4912887811660766,0.4844096302986145,1,0,0,2
8293,residential roof systems,residential roofing company,0.7124503254890442,0.6571558713912964,1,0,0,2
8294,roofers tulsa ok,local roofer,0.7530080080032349,0.7750146389007568,0,0,1,2
8295,swift roofing inc,roofing companies near me,0.7533379197120667,0.816017746925354,1,0,0,2
8296,manion roofing,roofing companies near me,0.63776034116745,0.7188092470169067,1,0,0,2
8297,yes roofing,roofers near me,0.6265865564346313,0.7110671997070312,1,0,0,2
8298,roof repair claremore ok,+roofing +contractor +claremore,0.7315069437026978,0.7046499252319336,0,1,0,2
8299,roof repair claremore ok,roofing in broken arrow,0.611070990562439,0.7046499252319336,1,0,0,2
8300,local roof repair,roofing company near me,0.7564625144004822,0.8420125246047974,0,1,0,2
8301,roofing contractors bartlesville ok,good roofing company,0.7050176858901978,0.8056600689888,0,0,1,2
8302,forrester roofing,+roofing +contractor +service,0.6404329538345337,0.7608448266983032,0,0,1,2
8303,vl roofing,roofers near me,0.5825364589691162,0.6818705201148987,1,0,0,2
8304,roof water leakage solution,+roof +leak +repair,0.6811566352844238,0.506069540977478,0,1,0,2
8305,power roof,roofers near me,0.5491040945053101,0.6270734071731567,1,0,0,2
8306,kenny roofing,roofers near me,0.5336767435073853,0.5794655680656433,1,0,0,2
8307,dans roofing tulsa,roofers in tulsa OK,0.8287304043769836,0.7451801300048828,0,0,1,2
8308,repair specialist,roof repair services,0.5609374046325684,0.5525720119476318,1,0,0,2
8309,beyond roofing llc,roofing companies near me,0.7807575464248657,0.8405854105949402,0,0,1,2
8310,paramount roofing company,roofing company in my area,0.7791856527328491,0.7807132601737976,0,0,1,2
8311,rhema roofing,home roofing contractor,0.6400645971298218,0.7101963758468628,1,0,0,2
8312,do roofing companies offer financing,+roofing +company +financing,0.7361522316932678,0.7705833911895752,0,1,0,2
8313,monthly payments for roofing,roof installation company,0.5531901121139526,0.6947646141052246,1,0,0,2
8314,replacing shingles that blew off,damaged roof repair,0.5757772922515869,0.5213074088096619,0,0,1,2
8315,fricker roofing,roofing companies in tulsa,0.5474797487258911,0.7015824317932129,1,0,0,1
8316,roofing comanies,residential roofing contractor,0.7289474010467529,0.8192842602729797,1,0,0,2
8317,above it all roofing tulsa,roofers in tulsa ok,0.7721900939941406,0.6949769258499146,0,0,1,2
8318,britton roofing owasso,roofer in owasso,0.7584844827651978,0.6375747323036194,0,0,1,2
8319,home trust roofing,roof repair company,0.6978163719177246,0.7437822222709656,1,0,0,2
8320,top view roofing,residential roofing company,0.5835464596748352,0.6504352688789368,1,0,0,2
8321,kennedy construction groups llc,roof repair company,0.5223463177680969,0.5475401878356934,1,0,0,2
8322,stillwater roofing,residential roofing contractor,0.5726735591888428,0.6925843954086304,1,0,0,2
8323,family roofing,residential roofing contractor,0.6368008852005005,0.7428773641586304,1,0,0,1
8324,roofing contractors siloam springs ar,roof replacement contractor,0.6734845638275146,0.7642478942871094,0,0,1,2
8325,roofmasters roofing,roofing companies near me,0.7588502764701843,0.8056814670562744,0,0,1,2
8326,local roofing contractor,+local +roofing +contractor,0.908026933670044,0.9097117185592651,0,1,0,0
8327,o donnell roofing,roof repair specialist,0.6346783638000488,0.7447418570518494,0,0,1,2
8328,kangaroof,residential roofing contractor,0.080560989677906,0.1556214690208435,1,0,0,2
8329,roofing quote,roof installation company,0.6661736965179443,0.8936320543289185,1,0,0,2
8330,sheetrock contractors near me,roof repair near me,0.5908045768737793,0.6583895683288574,1,0,0,2
8331,roofers in my area,roofing company,0.7718313932418823,0.8255554437637329,0,1,0,2
8332,roofing contractors tulsa,roof repair company tulsa,0.9197665452957152,0.7696030735969543,0,1,0,2
8333,single shingles,roofers near me,0.391829252243042,0.4143185019493103,1,0,0,2
8334,roofing contractors tulsa,local residential roofers,0.695001482963562,0.7696030735969543,0,0,1,2
8335,roofing contractors owasso ok,+roofing +contractor +service,0.6602898836135864,0.7476620078086853,0,0,1,2
8336,home repair contractors near me,roofing companies near me,0.6695601940155029,0.6380771398544312,1,0,0,1
8337,roofing near me now,roofing contractors near me,0.7357639074325562,0.7538527250289917,0,1,0,2
8338,roofing consultant,roof repair company,0.81761634349823,0.9020277261734009,1,0,0,2
8339,cmr roofing,+roofing +company +service,0.5668179988861084,0.6728639602661133,0,0,1,2
8340,hawk roofing,roofing in broken arrow,0.6066760420799255,0.6533211469650269,1,0,0,2
8341,owens corning roofing,roof installation company,0.7183595895767212,0.7938873171806335,1,0,0,2
8342,roof roof,home roof replacement,0.535185694694519,0.682134211063385,1,0,0,2
8343,best roofers in tulsa,roofing companies near me,0.7195977568626404,0.6824570894241333,1,0,0,2
8344,rooferin,roofers near me,0.5637890696525574,0.5717020034790039,1,0,0,2
8345,solidroofing,residential roofing company,0.3524885475635528,0.4924865961074829,1,0,0,2
8346,shingles blew off roof,roof repair services,0.515850305557251,0.5795396566390991,1,0,0,2
8347,roof quotes online,roofers near me,0.6625947952270508,0.779512882232666,1,0,0,2
8348,nathans roofing,roof repair company,0.7284599542617798,0.7750875949859619,1,0,0,2
8349,rhino roofing,residential roofing contractor,0.4836744666099548,0.5889637470245361,1,0,0,1
8350,roofing companies ponca city,roofing company in my area,0.7905125021934509,0.7686781883239746,0,0,1,2
8351,remington roofing,home roof replacement,0.5349441170692444,0.6924179792404175,1,0,0,2
8352,roofers in the area,roofers in my area,0.8968076705932617,0.7911714911460876,0,1,0,2
8353,l&b roofing,home roofing contractor,0.659582257270813,0.7485508322715759,1,0,0,2
8354,ables roofing,roofers near me,0.6682553291320801,0.7555776834487915,1,0,0,2
8355,cervantes roofing,roofing companies near me,0.5973505973815918,0.6884625554084778,1,0,0,2
8356,perry's roofing,residential roofing company,0.6472936272621155,0.7168923616409302,1,0,0,1
8357,okie roofing,roofing contractor in my area,0.5922477841377258,0.7660579085350037,0,0,1,2
8358,john senac roofing,certified roofing company,0.60513836145401,0.6939294934272766,0,0,1,2
8359,affordable roof repair near me,house roof repair,0.7395631074905396,0.7466143369674683,0,0,1,2
8360,roofers tulsa,roof repair tulsa county,0.7939802408218384,0.7313355207443237,0,1,0,2
8361,when should you redo your roof,roofers near me,0.4569810032844543,0.6458154916763306,1,0,0,2
8362,best roofers in my area,home roofers in my area,0.8677379488945007,0.7828406095504761,0,0,1,2
8363,tile roofing tulsa,roof repair service tulsa,0.7781391143798828,0.5849466919898987,1,0,0,2
8364,redwood roofing,roofing companies near me,0.577789306640625,0.5908887386322021,1,0,0,2
8365,burggraf roofing sapulpa roofing company,roofing contractor sapulpa,0.7630702257156372,0.7552965879440308,0,0,1,1
8366,guttering companies near me,roof installation company,0.625504732131958,0.6787612438201904,1,0,0,2
8367,annex roofing,roofing companies near me,0.629560649394989,0.6835344433784485,0,0,1,2
8368,bourbon country roofing,roofing contractor service,0.5761347413063049,0.7220638394355774,0,0,1,1
8369,jenkins roofing,roofing companies near me,0.6638723015785217,0.7492165565490723,1,0,0,2
8370,h & m roofing services,roofing companies near me,0.7274032235145569,0.7768152952194214,1,0,0,1
8371,roofing techniques,roof installation company,0.5781069993972778,0.6270148754119873,1,0,0,2
8372,clear roofing,roofing companies near me,0.5733159780502319,0.5947073698043823,1,0,0,2
8373,capitol roofing,residential roofing company,0.6474907994270325,0.7232131958007812,1,0,0,1
8374,good neighbor roofing,roofers near me,0.7264236211776733,0.7770284414291382,1,0,0,2
8375,roofing contractors ponca city ok,+roof +replacement +contractor,0.6493350863456726,0.7841041088104248,0,0,1,2
8376,roofer benefits,roof installation company,0.5659276247024536,0.6160517930984497,1,0,0,2
8377,mott roofing,roofing companies near me,0.6492524743080139,0.7111846804618835,1,0,0,1
8378,raymond roofing,roofing company service,0.6137009859085083,0.7289937734603882,0,0,1,2
8379,how much does it cost to replace a few shingles on a roof,home roof replacement,0.5658115148544312,0.5182778239250183,0,0,1,2
8380,white's roofing,roofing company service,0.5915991067886353,0.6639924049377441,0,0,1,2
8381,turner roof,roof repair company,0.5772156119346619,0.6327834129333496,1,0,0,2
8382,roofer in tulsa,roof installation company,0.5988209247589111,0.711318850517273,0,0,1,2
8383,roofs r us construction,roof repair services,0.659588098526001,0.778812050819397,1,0,0,1
8384,cost of new roof 2000 sq ft,home roof replacement,0.5207784175872803,0.541204571723938,0,0,1,2
8385,wright way roofing,residential roofing contractor,0.5560688972473145,0.6805557012557983,1,0,0,2
8386,exterior contractors near me,home roofing contractor,0.6384219527244568,0.7327852249145508,1,0,0,2
8387,triple m contracting,residential roofing contractor,0.2450438439846038,0.34147608280181885,1,0,0,2
8388,bartlesville roofing companies,roofing contractor company,0.7217233180999756,0.7662486433982849,0,0,1,2
8389,armstrong tulsa,roofers in tulsa,0.5196362137794495,0.3068804144859314,1,0,0,2
8390,remi roofing,+roof +replacement +company,0.5829116106033325,0.6763985753059387,0,0,1,2
8391,tecumseh roofing company,residential roofing company,0.7395731806755066,0.7792776823043823,1,0,0,2
8392,roofing install asphalt shingle roofing in broken arrow ok 74014,new roof installation,0.645517110824585,0.5822088718414307,0,0,1,2
8393,roofing companies in elk city oklahoma,roof repair service,0.6457644701004028,0.7449172139167786,0,0,1,2
8394,moores roofing mooreland ok,roofing contractor service,0.5318354368209839,0.679823637008667,0,0,1,1
8395,roofers near me that offer financing,roofing financing,0.8045700788497925,0.8094795346260071,0,1,0,2
8396,summit county roofing companies,roof installation company,0.8077488541603088,0.7880165576934814,0,0,1,2
8397,roanoke roofing,roof repair near me,0.68994140625,0.7177179455757141,1,0,0,2
8398,cost of a new roof,home roof replacement,0.5962138175964355,0.5659214854240417,0,0,1,2
8399,sylvester roofing escondido,+roofing +contractor +service,0.5560983419418335,0.6610476970672607,0,0,1,2
8400,cost to replace roof 1100 sq ft,house roof replacement,0.6785470247268677,0.6305313110351562,0,0,1,2
8401,roof repair and replacement,+house +roof +repair,0.7392261028289795,0.8624064326286316,0,0,1,2
8402,cost for roof replacement,home roof replacement,0.691781759262085,0.6348270177841187,0,0,1,2
8403,cost of roof for 2500 sq ft house,house roof replacement,0.5563950538635254,0.5542214512825012,0,0,1,2
8404,reeva roofing,roof repair specialist,0.6007702350616455,0.6990659236907959,0,0,1,2
8405,top hat chimney & roofing,roof repair company,0.5021440386772156,0.5638825297355652,1,0,0,2
8406,protec roofing,roof installation company,0.5768812894821167,0.6469895839691162,1,0,0,2
8407,above it all roofing sand springs ok,+roofing +company +sand +springs,0.7440179586410522,0.6258028745651245,0,0,1,2
8408,o donnell roofing,local roofer,0.7082505822181702,0.7447418570518494,0,0,1,2
8409,emergency roof tarp near me,roof repair near me,0.6160210371017456,0.5541653037071228,1,0,0,2
8410,roofing contractors poteau ok,+roofing +general +contractor,0.6360388398170471,0.7560463547706604,0,0,1,2
8411,roofer bartlesville,roof installation company,0.6065270900726318,0.6543903350830078,0,0,1,2
8412,bartlesville roofing,roof repair bartlesville,0.911734700202942,0.7205092906951904,0,1,0,2
8413,roofing contractors guthrie,roof installation company,0.7109413146972656,0.7721055746078491,0,0,1,2
8414,roofing contractors tulsa,roof installation company,0.710594892501831,0.7696030735969543,0,0,1,2
8415,best composition roof shingles,residential roofing company,0.4779384732246399,0.5680100321769714,1,0,0,2
8416,roofer near me,roofing company in my area,0.7257956266403198,0.7835197448730469,0,1,0,2
8417,roofing financing options,roofing financing,0.9322223663330078,0.83216392993927,0,1,0,2
8418,clay tile roofing,roofing company in my area,0.5227850675582886,0.5724895000457764,1,0,0,2
8419,neth roofing,roofing company service,0.6145379543304443,0.6915395259857178,0,0,1,2
8420,bms roofing,residential roofing company,0.6333918571472168,0.6912246942520142,1,0,0,2
8421,revive roofing and construction,residential roofing company,0.6468703746795654,0.715149462223053,1,0,0,2
8422,licensed and insured roofers,roofing company in my area,0.7544268369674683,0.7872656583786011,1,0,0,2
8423,local roofing contractors,home roofing contractor,0.8319156169891357,0.8710640668869019,0,1,0,2
8424,accurate roofing tulsa,roofers in tulsa ok,0.7310751080513,0.6830847263336182,0,0,1,2
8425,roofers coweta ok,roofing companies near me,0.6464207172393799,0.6701523065567017,1,0,0,2
8426,roofing shawnee,roofing company service,0.561503529548645,0.6822931170463562,0,0,1,2
8427,roofing companies that finance near me,roofers near me,0.7034469842910767,0.8261407017707825,0,0,1,2
8428,roofing companies bixby ok,+roofing +company +bixby,0.8064526319503784,0.7606450915336609,0,0,1,2
8429,macs roofing,roof installation company,0.6061074733734131,0.6638503074645996,1,0,0,2
8430,tile roof repair near me,local residential roofers,0.6754604578018188,0.7280740737915039,0,0,1,2
8431,3 tab roofing shingles,roofing companies near me,0.5543340444564819,0.5731686353683472,1,0,0,2
8432,johnson construction cameron ok,roofing companies near me,0.3645234704017639,0.4801167845726013,1,0,0,2
8433,roofing shingles tulsa,roofing company in tulsa,0.7459391355514526,0.6176242828369141,1,0,0,2
8434,neil strickland roofing,roof repair company,0.6181840896606445,0.6733931303024292,1,0,0,2
8435,coleman roofing,residential roofing company,0.60695481300354,0.7004024982452393,0,0,1,2
8436,fortified roof,home roof replacement,0.5019792318344116,0.6185710430145264,1,0,0,2
8437,builder near me,residential roofing contractor,0.4881695210933685,0.6276980638504028,1,0,0,2
8438,dented roof repair,damaged roof repair,0.7839288115501404,0.6043444871902466,0,0,1,2
8439,roofers in broken arrow,roofing company service,0.4876948595046997,0.5708980560302734,0,0,1,2
8440,terry roofing company,roofing company in my area,0.7822856307029724,0.7932067513465881,0,0,1,2
8441,asphalt repair contractors near me,roof repair near me,0.6327909231185913,0.5443981885910034,1,0,0,2
8442,roof replacement estimate,online roofing estimate,0.7342777252197266,0.7295038104057312,0,1,0,2
8443,daniel ruhl tulsa,roofing contractor in tulsa,0.4978022873401642,0.23292432725429535,1,0,0,2
8444,reroof,roofing companies near me,0.1167695224285125,0.2991276979446411,1,0,0,2
8445,free roof repair for disabled veterans,roof repair,0.6818453073501587,0.6717789769172668,0,0,1,2
8446,semper fi roofing and restoration,roofers near me,0.511884868144989,0.687645435333252,1,0,0,2
8447,usaa roof repair,roof repair,0.824804425239563,0.7425011992454529,0,0,1,2
8448,roofing contractors mcalester ok,roof repair contractor,0.7222541570663452,0.7692136764526367,0,0,1,2
8449,emergency roof leak repair,fast roof repair,0.6894183158874512,0.6424026489257812,0,1,0,2
8450,john steele roofing,roofing companies near me,0.5876569747924805,0.7218562960624695,0,0,1,2
8451,lost shingles on roof,damaged roof repair,0.5808442831039429,0.5532599091529846,1,0,0,2
8452,signs you need a new roof,roofing companies near me,0.4707715809345245,0.629263162612915,1,0,0,2
8453,process of roofing a house,house roof installation,0.7907238006591797,0.6363515853881836,0,1,0,2
8454,nor easter roofing,roofing companies near me,0.5557049512863159,0.6432276964187622,0,0,1,2
8455,construction company near me,residential roofing contractor,0.5088441371917725,0.6144331693649292,1,0,0,2
8456,roof repair claremore ok,local residential roofers,0.599086582660675,0.7046499252319336,0,0,1,2
8457,cost to replace roof shingles,home roof replacement,0.6005558967590332,0.5290670990943909,0,0,1,2
8458,precision construction and roofing,roof installation company,0.6044259071350098,0.6419113874435425,0,0,1,2
8459,roof coach pro,roof repair services,0.7020039558410645,0.7116168737411499,1,0,0,2
8460,roofing repairs,roof repair near me,0.7920064926147461,0.8309760689735413,0,1,0,2
8461,estimate roof replacement cost,home roof replacement,0.6911299228668213,0.654779314994812,0,0,1,2
8462,405 roofing,local roofer,0.5663885474205017,0.6776962280273438,0,0,1,2
8463,roof contractors,house roofers,0.8568814396858215,0.9259557127952576,0,1,0,2
8464,mike holmes go to roofer,roof repair services,0.5582927465438843,0.590101957321167,1,0,0,2
8465,rascon roofing,roof repair services,0.5037029385566711,0.6032871007919312,1,0,0,2
8466,how much is a new roof in oklahoma,roofing quote,0.4993324279785156,0.535839855670929,0,0,1,2
8467,cost to roof a house,house roof replacement,0.7044005393981934,0.5902919769287109,0,0,1,2
8468,roofing contractors,roof repair company,0.8034383058547974,0.9677329063415527,1,0,0,2
8469,roofing cost per square,roofers in broken arrow,0.3063491582870483,0.5926902890205383,1,0,0,2
8470,sand springs ok roofing,roofing companies near me,0.5838898420333862,0.6230447292327881,0,0,1,2
8471,tulsa guttering,roofing company in tulsa,0.6183983087539673,0.4615141749382019,1,0,0,2
8472,ars roofing,roofing companies near me,0.5972686409950256,0.727556586265564,1,0,0,2
8473,roofers broken arrow ok,home roofing contractor,0.4011980891227722,0.5624483823776245,0,0,1,2
8474,roof leak repair tulsa,roofing company in my area,0.4553241729736328,0.6060780882835388,0,0,1,2
8475,how much to repair a roof,+roof +repair +service,0.608558177947998,0.6649127006530762,0,0,1,2
8476,recommended roofing companies near me,roofer contractor,0.5622057318687439,0.8026996850967407,0,1,0,2
8477,roof replacement tulsa,roof repair service tulsa,0.842278003692627,0.749055027961731,0,1,0,2
8478,roofing company scams,roof repair services,0.7093979716300964,0.742600679397583,1,0,0,2
8479,roofers in my area free estimates,roofing company in my area,0.6766552925109863,0.8090299367904663,0,0,1,2
8480,dustan biegler apple roofing,roof installation company,0.5785553455352783,0.5985312461853027,0,0,1,2
8481,good roofers near me,roofing company near me,0.8674108982086182,0.8277037143707275,0,1,0,2
8482,replace blown off shingles,damaged roof repair,0.5784679055213928,0.5465229749679565,0,0,1,2
8483,roofing in claremore,+roofing +company +claremore,0.8147333860397339,0.6420566439628601,0,1,0,2
8484,superintendent roofing,roofing company in my area,0.6547514200210571,0.8126751184463501,1,0,0,2
8485,replacement roof,+home +roof +replacement,0.8269651532173157,0.8810850381851196,0,1,0,2
8486,southern roofing,residential roofing contractor,0.5526526570320129,0.6850882768630981,1,0,0,2
8487,local roofing companies that finance,home roof replacement,0.5241907835006714,0.8085883855819702,1,0,0,2
8488,aaron roofing,roofing company in my area,0.4855562746524811,0.5397552847862244,0,0,1,2
8489,roof estimate,roof installation company,0.635919451713562,0.8378089666366577,1,0,0,2
8490,cost to roof a 1200 sq ft house,home roof installation,0.56719571352005,0.5449273586273193,0,0,1,2
8491,usaa recommended roofers,roof installation company,0.6655075550079346,0.6466591954231262,0,0,1,2
8492,does roof replacement include plywood,home roof replacement,0.6145006418228149,0.6003418564796448,0,0,1,2
8493,roofing tulsa oklahoma,roofing companies near me,0.6739635467529297,0.7065421342849731,0,0,1,2
8494,cooper roofing,roofing companies near me,0.6647396087646484,0.7506557703018188,1,0,0,2
8495,roofer coweta ok,home roofing contractor,0.541946291923523,0.6278775930404663,0,0,1,2
8496,roof stop leak,house roof repair,0.593144953250885,0.5331741571426392,0,0,1,2
8497,rms roofing,roof repair specialist,0.4932595491409302,0.6443835496902466,0,0,1,2
8498,hi tech roofing,roof installation company,0.7092691659927368,0.719482421875,0,0,1,1
8499,roofing company shawnee ok,+roofing +company +service,0.7202732563018799,0.8125699758529663,0,0,1,2
8500,roof replacement homeowners insurance,home roof replacement,0.7996437549591064,0.7421557307243347,0,0,1,2
8501,reroofing a house,home roof installation,0.4531607031822204,0.4528045654296875,0,1,0,2
8502,bbb roofers near me,local roofer,0.749604344367981,0.7678673267364502,0,0,1,2
8503,roofing companies hail damage,residential roofing contractor,0.5000143051147461,0.6322106719017029,1,0,0,2
8504,bryant roofing,roof installation company,0.5871841907501221,0.669690728187561,1,0,0,2
8505,buchanan roofing,roofing companies near me,0.6585972309112549,0.715034544467926,1,0,0,2
8506,who carries gaf shingles,gaf roofing company,0.4629037082195282,0.2903742790222168,0,0,1,2
8507,my roof llc,roofing companies near me,0.6588853597640991,0.7703914642333984,1,0,0,2
8508,new roof with insurance,home roof replacement,0.6898759007453918,0.7346578240394592,1,0,0,2
8509,all new roofing,new roof installation,0.8193924427032471,0.763501763343811,0,1,0,2
8510,minor roof repair near me,roof repair,0.7993855476379395,0.8054742217063904,0,0,1,2
8511,roofing repair tulsa,roofing company in my area,0.6361616253852844,0.7376997470855713,1,0,0,2
8512,roofing hillsboro,residential roofing contractor,0.5558477640151978,0.6477106809616089,1,0,0,2
8513,roofing companies that finance near me,+roofing +company +near +me,0.7617810368537903,0.8261407017707825,0,0,1,2
8514,exterior company,home roofing contractor,0.4952560663223266,0.6949858665466309,1,0,0,2
8515,better business bureau roofing companies,roof repair company,0.7734778523445129,0.7882664203643799,0,0,1,2
8516,above and beyond roofing and construction,roof installation company,0.5182099938392639,0.7372797727584839,1,0,0,1
8517,bartlesville roofing companies,+roofing +in +bartlesville +ok,0.7025798559188843,0.7662486433982849,0,1,0,2
8518,best roofing in tulsa,roofing companies near me,0.666339099407196,0.6462118625640869,0,0,1,2
8519,meral roof,residential roofing company,0.4985486268997192,0.6257134079933167,1,0,0,2
8520,gulf eagle near me,roofers near me,0.45135098695755,0.36489731073379517,1,0,0,2
8521,royalty roofing omaha,roofing contractor company,0.5407207608222961,0.6601231098175049,0,0,1,2
